Source Well,Destination Well,Transfer Volume
A01,A01,750
A03,A03,750
A05,A05,750
C01,C01,750
C03,C03,750
C05,C05,750
E01,E01,750
E03,E03,750
E05,E05,750
G01,G01,750
G03,G03,750
G05,G05,750
I01,I01,750
I03,I03,750
I05,I05,750
K01,K01,750
K03,K03,750
K05,K05,750
M01,M01,750
M03,M03,750
M05,M05,750
O01,O01,750
O03,O03,750
O05,O05,750
B02,B02,750
B02,B04,750
B02,B06,750
B02,B08,750
B02,B10,750
B02,B12,750
B02,B14,750
B02,B16,750
B02,B18,750
B02,B20,750
B02,B22,750
B02,B24,750
D02,D02,750
D02,D04,750
D02,D06,750
D02,D08,750
D02,D10,750
D02,D12,750
D02,D14,750
D02,D16,750
D02,D18,750
D02,D20,750
D02,D22,750
D02,D24,750
