Source Well,Destination Well,Transfer Volume
A01,A01,750
A03,A03,750
A05,A05,750
A07,A07,750
A09,A09,750
A11,A11,750
A13,A13,750
A15,A15,750
A17,A17,750
A19,A19,750
A21,A21,750
A23,A23,750
B02,B02,750
B02,B04,750
B02,B06,750
B02,B08,750
B02,B10,750
B02,B12,750
B02,B14,750
B02,B16,750
B02,B18,750
B02,B20,750
B02,B22,750
B02,B24,750
C01,C01,750
C03,C03,750
C05,C05,750
C07,C07,750
C09,C09,750
C11,C11,750
C13,C13,750
C15,C15,750
C17,C17,750
C19,C19,750
C21,C21,750
C23,C23,750
D02,D02,750
D02,D04,750
D02,D06,750
D02,D08,750
D02,D10,750
D02,D12,750
D02,D14,750
D02,D16,750
D02,D18,750
D02,D20,750
D02,D22,750
D02,D24,750
E01,E01,750
E03,E03,750
E05,E05,750
E07,E07,750
E09,E09,750
E11,E11,750
E13,E13,750
E15,E15,750
E17,E17,750
E19,E19,750
E21,E21,750
E23,E23,750
G01,G01,750
G03,G03,750
G05,G05,750
G07,G07,750
G09,G09,750
G11,G11,750
G13,G13,750
G15,G15,750
G17,G17,750
G19,G19,750
G21,G21,750
G23,G23,750
I01,I01,750
I03,I03,750
I05,I05,750
I07,I07,750
I09,I09,750
I11,I11,750
I13,I13,750
I15,I15,750
I17,I17,750
I19,I19,750
I21,I21,750
I23,I23,750
K01,K01,750
K03,K03,750
K05,K05,750
K07,K07,750
K09,K09,750
K11,K11,750
K13,K13,750
K15,K15,750
K17,K17,750
K19,K19,750
K21,K21,750
K23,K23,750
M01,M01,750
M03,M03,750
M05,M05,750
M07,M07,750
M09,M09,750
M11,M11,750
M13,M13,750
M15,M15,750
M17,M17,750
M19,M19,750
M21,M21,750
M23,M23,750
O01,O01,750
O03,O03,750
O05,O05,750
O07,O07,750
O09,O09,750
O11,O11,750
O13,O13,750
O15,O15,750
O17,O17,750
O19,O19,750
O21,O21,750
O23,O23,750
