Source Well,Destination Well,Transfer Volume
A01,A01,14250
A01,A03,14250
A01,A05,14250
A01,C01,14250
A01,C03,14250
A01,C05,14250
A01,E01,14250
A01,E03,14250
A01,E05,14250
A01,G01,14250
A01,G03,14250
A01,G05,14250
A01,I01,14250
A01,I03,14250
A01,I05,14250
A01,K01,14250
A01,K03,14250
A01,K05,14250
A01,M01,14250
A01,M03,14250
A01,M05,14250
A01,O01,14250
A01,O03,14250
A01,O05,14250
A01,B02,14250
A01,B04,14250
A01,B06,14250
A01,B08,14250
A01,B10,14250
A01,B12,14250
A01,B14,14250
A01,B16,14250
A01,B18,14250
A01,B20,14250
A01,B22,14250
A01,B24,14250
A01,D02,14250
A01,D04,14250
A01,D06,14250
A01,D08,14250
A01,D10,14250
A01,D12,14250
A01,D14,14250
A01,D16,14250
A01,D18,14250
A01,D20,14250
A01,D22,14250
A01,D24,14250
