Source Well,Destination Well,Transfer Volume
A01,A01,14250
A01,A03,14250
A01,A05,14250
A01,A07,14250
A01,A09,14250
A01,A11,14250
A01,A13,14250
A01,A15,14250
A01,A17,14250
A01,A19,14250
A01,A21,14250
A01,A23,14250
A01,B02,14250
A01,B04,14250
A01,B06,14250
A01,B08,14250
A01,B10,14250
A01,B12,14250
A01,B14,14250
A01,B16,14250
A01,B18,14250
A01,B20,14250
A01,B22,14250
A01,B24,14250
A01,C01,14250
A01,C03,14250
A01,C05,14250
A01,C07,14250
A01,C09,14250
A01,C11,14250
A01,C13,14250
A01,C15,14250
A01,C17,14250
A01,C19,14250
A01,C21,14250
A01,C23,14250
A01,D02,14250
A01,D04,14250
A01,D06,14250
A01,D08,14250
A01,D10,14250
A01,D12,14250
A01,D14,14250
A01,D16,14250
A01,D18,14250
A01,D20,14250
A01,D22,14250
A01,D24,14250
A01,E01,14250
A01,E03,14250
A01,E05,14250
A01,E07,14250
A01,E09,14250
A01,E11,14250
A01,E13,14250
A01,E15,14250
A01,E17,14250
A01,E19,14250
A01,E21,14250
A01,E23,14250
A01,G01,14250
A01,G03,14250
A01,G05,14250
A01,G07,14250
A01,G09,14250
A01,G11,14250
A01,G13,14250
A01,G15,14250
A01,G17,14250
A01,G19,14250
A01,G21,14250
A01,G23,14250
A01,I01,14250
A01,I03,14250
A01,I05,14250
A01,I07,14250
A01,I09,14250
A01,I11,14250
A01,I13,14250
A01,I15,14250
A01,I17,14250
A01,I19,14250
A01,I21,14250
A01,I23,14250
A01,K01,14250
A01,K03,14250
A01,K05,14250
A01,K07,14250
A01,K09,14250
A01,K11,14250
A01,K13,14250
A01,K15,14250
A01,K17,14250
A01,K19,14250
A01,K21,14250
A01,K23,14250
A01,M01,14250
A01,M03,14250
A01,M05,14250
A01,M07,14250
A01,M09,14250
A01,M11,14250
A01,M13,14250
A01,M15,14250
A01,M17,14250
A01,M19,14250
A01,M21,14250
A01,M23,14250
A01,O01,14250
A01,O03,14250
A01,O05,14250
A01,O07,14250
A01,O09,14250
A01,O11,14250
A01,O13,14250
A01,O15,14250
A01,O17,14250
A01,O19,14250
A01,O21,14250
A01,O23,14250
