Source Well,Destination Well,Transfer Volume
A01,A1,122.90563951705235
A03,A1,122.08603101925816
A05,A1,1582.987672877524
C01,A1,148.57964748956294
C03,A1,724.7413442089869
C05,A1,187.06118213479402
E01,A1,197.0401127680961
E03,A1,155.2635401863648
E05,A1,2126.6400049768754
G01,A1,124.7259244625063
G03,A1,380.0313366294417
G05,A1,152.2874216945466
I01,A1,1037.129854643895
I03,A1,402.557094632334
I05,A1,355.33731728727537
K01,A1,239.51918144790744
K03,A1,207.01805358181971
K05,A1,187.81209678207907
M01,A1,315.885011992064
M03,A1,413.22347496115924
M05,A1,201.95430263089753
O01,A1,189.50257470090972
O03,A1,113.80397864470847
O05,A1,311.9072007299417
