Well,Content,Concentration,Unnamed: 3
A01,Sample X1,0.728,
A03,Sample X17,1.482,
A05,Sample X33,0.11900000000000001,
C01,Sample X2,4.418,
C03,Sample X18,9.04,
C05,Sample X34,0.127,
E01,Sample X3,7.652,
E03,Sample X19,8.879,
E05,Sample X35,0.08199999999999999,
G01,Sample X4,8.336,
G03,Sample X20,9.146,
G05,Sample X36,0.185,
I01,Sample X5,6.48,
I03,Sample X21,4.415,
I05,Sample X37,0.061,
K01,Sample X6,9.32,
K03,Sample X22,8.326,
K05,Sample X38,0.136,
M01,Sample X7,13.014000000000001,
M03,Sample X23,13.151,
M05,Sample X39,0.139,
O01,Sample X8,1.2429999999999999,
O03,Sample X24,15.142999999999999,
O05,Sample X40,0.066,
