Well,Content, Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,10.003,
A03,Sample X17,12.162,
A05,Sample X33,2.474,
A07,Sample X49,-0.723,
A09,Sample X65,-0.721,
A11,Sample X81,-0.809,
A13,Sample X97,-0.778,
A15,Sample X113,-0.827,
A17,Sample X129,-0.797,
A19,Sample X145,-0.788,
A21,Sample X161,-0.811,
A23,Sample X177,-0.888,
B02,Standard S1,-0.075,
B04,Standard S1,-0.041,
B06,Standard S1,0.044,
B08,Standard S1,0.001,
B10,Standard S1,0.029,
B12,Standard S1,0.084,
B14,Standard S1,0.036,
B16,Standard S1,-0.054,
B18,Standard S1,-0.091,
B20,Standard S1,-0.035,
B22,Standard S1,0.111,
B24,Standard S1,-0.011,
C01,Sample X2,9.049,
C03,Sample X18,20.839,
C05,Sample X34,18.623,
C07,Sample X50,-0.789,
C09,Sample X66,-0.719,
C11,Sample X82,-0.734,
C13,Sample X98,-0.795,
C15,Sample X114,-0.775,
C17,Sample X130,-0.784,
C19,Sample X146,-0.839,
C21,Sample X162,-0.787,
C23,Sample X178,-0.829,
D02,Standard S2,50.713,
D04,Standard S2,51.205,
D06,Standard S2,51.779,
D08,Standard S2,51.296,
D10,Standard S2,50.555,
D12,Standard S2,50.328,
D14,Standard S2,50.409,
D16,Standard S2,49.334,
D18,Standard S2,49.073,
D20,Standard S2,47.770,
D22,Standard S2,47.537,
D24,Standard S2,,
E01,Sample X3,9.261,
E03,Sample X19,14.809,
E05,Sample X35,17.530,
E07,Sample X51,-0.564,
E09,Sample X67,-0.760,
E11,Sample X83,-0.804,
E13,Sample X99,-0.732,
E15,Sample X115,-0.734,
E17,Sample X131,-0.842,
E19,Sample X147,-0.783,
E21,Sample X163,-0.828,
E23,Sample X179,-0.810,
G01,Sample X4,14.733,
G03,Sample X20,16.430,
G05,Sample X36,15.414,
G07,Sample X52,-0.820,
G09,Sample X68,-0.738,
G11,Sample X84,-0.758,
G13,Sample X100,-0.641,
G15,Sample X116,-0.803,
G17,Sample X132,-0.742,
G19,Sample X148,-0.808,
G21,Sample X164,-0.807,
G23,Sample X180,-0.814,
I01,Sample X5,15.424,
I03,Sample X21,17.934,
I05,Sample X37,18.285,
I07,Sample X53,-0.721,
I09,Sample X69,-0.766,
I11,Sample X85,-0.794,
I13,Sample X101,-0.791,
I15,Sample X117,-0.777,
I17,Sample X133,-0.763,
I19,Sample X149,-0.803,
I21,Sample X165,-0.824,
I23,Sample X181,-0.801,
K01,Sample X6,10.942,
K03,Sample X22,19.118,
K05,Sample X38,14.077,
K07,Sample X54,-0.833,
K09,Sample X70,-0.727,
K11,Sample X86,-0.708,
K13,Sample X102,-0.740,
K15,Sample X118,-0.762,
K17,Sample X134,-0.791,
K19,Sample X150,-0.776,
K21,Sample X166,-0.892,
K23,Sample X182,-0.788,
M01,Sample X7,3.846,
M03,Sample X23,7.174,
M05,Sample X39,3.019,
M07,Sample X55,-0.700,
M09,Sample X71,-0.703,
M11,Sample X87,-0.759,
M13,Sample X103,-0.805,
M15,Sample X119,-0.728,
M17,Sample X135,-0.773,
M19,Sample X151,-0.829,
M21,Sample X167,-0.809,
M23,Sample X183,-0.784,
O01,Sample X8,11.550,
O03,Sample X24,13.115,
O05,Sample X40,3.883,
O07,Sample X56,-0.722,
O09,Sample X72,-0.563,
O11,Sample X88,-0.717,
O13,Sample X104,-0.773,
O15,Sample X120,-0.801,
O17,Sample X136,-0.799,
O19,Sample X152,-0.757,
O21,Sample X168,-0.776,
O23,Sample X184,-0.790,
