Source Well,Destination Well,Transfer Volume
A01,B1,361.4537657375042
A03,B1,297.2884409367089
A05,B1,1461.4478652676858
C01,B1,399.5603954770974
C03,B1,173.50266417161353
C05,B1,194.14820483661356
E01,B1,390.413780225921
E03,B1,244.15031525911638
E05,B1,206.2533952465633
G01,B1,245.40976166919532
G03,B1,220.06220442314392
G05,B1,234.56740746543755
I01,B1,234.41532797408289
I03,B1,201.6071160183035
I05,B1,197.73705324978152
K01,B1,330.43520550833983
K03,B1,189.12135258250106
K05,B1,256.84606227692365
M01,B1,940.0993288279393
M03,B1,503.9896875762831
M05,B1,1197.6223977052848
O01,B1,313.0408674175112
O03,B1,275.6860098110755
O05,B1,931.1413903353733
