Source Well,Destination Well,Transfer Volume
O01,B1,19.357236861972968
A22,B1,13.20816892454908
C02,B1,11.63862252651717
A23,B1,11.442221951674108
A04,B1,10.812390967213666
C24,B1,9.108552555950338
C16,B1,8.617672478084753
G16,B1,8.16279822759203
A16,B1,4.906652789324209
K16,B1,3.6581632976172394
I20,B1,3.634595087525385
G22,B1,3.3004967653359327
C22,B1,2.857657490301395
I04,B1,2.72777401702644
I16,B1,2.659265928356872
I12,B1,2.636103842404678
K14,B1,2.5850806073597834
G08,B1,2.572538081430306
I14,B1,2.4010355426682843
A01,B1,2.3362071852962574
C12,B1,2.2896332312142453
C14,B1,2.257817497139805
G14,B1,2.210123605734401
I08,B1,2.1714677101822177
I22,B1,2.1554058712035804
K12,B1,2.121811761340982
A06,B1,2.064598134681096
A18,B1,2.0638126339128307
G20,B1,2.020932363391057
I18,B1,1.974310260601588
G24,B1,1.9573767976286542
G10,B1,1.9554228402564269
E16,B1,1.9375852146769479
E24,B1,1.911378920370996
I24,B1,1.894484965966406
O17,B1,1.8924005444441692
O05,B1,1.8909289649040713
G02,B1,1.8884982696812493
A20,B1,1.7642835598740938
O03,B1,1.7119444039660014
K20,B1,1.6879721829755017
G18,B1,1.6809309183869072
K06,B1,1.6785702289440272
O23,B1,1.6700630879376561
I02,B1,1.666826149057308
C06,B1,1.6255973694828842
G04,B1,1.610450668862874
A14,B1,1.597209890787695
I10,B1,1.5778755456942526
O21,B1,1.5778402409363328
M21,B1,1.5638439200800018
G12,B1,1.561074400375612
K05,B1,1.5582113728161466
C08,B1,1.5359473315945185
M05,B1,1.5255470824914554
C10,B1,1.4901509601709007
K08,B1,1.48908110497218
O11,B1,1.4811992246879275
O07,B1,1.475064611629417
E18,B1,1.4667501536704421
A08,B1,1.4350511576753668
C18,B1,1.430596918186508
C05,B1,1.3993970052422515
C04,B1,1.3669008313271473
M01,B1,1.350798082332488
I23,B1,1.347648706942258
K23,B1,1.3471595516021764
O13,B1,1.320990088383334
C20,B1,1.315568417591693
K19,B1,1.2979884387374614
O19,B1,1.2832729270666678
K09,B1,1.2823161836627848
E22,B1,1.2822229192168215
M23,B1,1.2745750517499148
I15,B1,1.2620971093561861
O15,B1,1.2476718663865451
K17,B1,1.2476277182011877
K07,B1,1.21134439385326
E14,B1,1.2102425669006578
K03,B1,1.193124219818752
I21,B1,1.1821832641224377
O09,B1,1.17249291513979
K02,B1,1.1708965212394566
A10,B1,1.1614469643614127
K21,B1,1.1582231073034004
M03,B1,1.1571777795892277
K15,B1,1.1537887381692686
I06,B1,1.1513774370690406
K18,B1,1.1480783076073706
M11,B1,1.138366892475302
E20,B1,1.1261504317885551
M19,B1,1.1194109766995926
C09,B1,1.1144222935011778
A12,B1,1.1089893358521659
C07,B1,1.0964877068114927
I19,B1,1.0927157958962972
M09,B1,1.0892052250925588
E10,B1,1.0708133609925978
K13,B1,1.0654581616681402
E08,B1,1.0548910812153889
M13,B1,1.0514778559652809
E17,B1,1.0365781844505002
M15,B1,1.0142448206214407
K11,B1,1.0123083775450759
M17,B1,1.002308458243327
G06,B1,0.9951794226385483
I17,B1,0.9787155649831724
E19,B1,0.977779202841995
E12,B1,0.9770341095124075
M07,B1,0.963458443951847
G07,B1,0.959264536723675
G05,B1,0.9561689182271093
G09,B1,0.954680284409167
E06,B1,0.9539312522072336
C11,B1,0.953376693500717
C03,B1,0.9242256079707409
A11,B1,0.9093518064704122
K04,B1,0.902797479076795
A21,B1,0.8999631671473836
I13,B1,0.8955174089879806
K01,B1,0.8886896685381096
A17,B1,0.8877946127855312
E04,B1,0.876375287552103
E02,B1,0.8724826958016397
C21,B1,0.8652459956094714
A19,B1,0.8478624283192363
G23,B1,0.8401250195163995
I05,B1,0.8326455141945818
C01,B1,0.8306545013035813
A05,B1,0.8169512377132211
C23,B1,0.8050690567530229
G01,B1,0.7998912646117008
A09,B1,0.7954340908268948
A13,B1,0.7938134056190412
I07,B1,0.7786583398278293
G13,B1,0.7756777310824481
A15,B1,0.765049242073963
A03,B1,0.7567571378244088
A07,B1,0.7466532609974752
E01,B1,0.7294983178144302
G03,B1,0.7221251959793509
G15,B1,0.7213274471488669
G17,B1,0.7203916056775279
C19,B1,0.7202003154589953
E05,B1,0.7199135705348177
E03,B1,0.7118326558876661
I09,B1,0.7114089673459524
I03,B1,0.7097192448563071
C13,B1,0.709134015347159
G11,B1,0.7063071672776468
G21,B1,0.7039522224923138
E21,B1,0.6977323573056511
E15,B1,0.6964093806850437
C15,B1,0.6846182079158822
C17,B1,0.6723531352856756
G19,B1,0.6661730453462017
I01,B1,0.6582201324326087
E09,B1,0.6233671945915362
E13,B1,0.6082214718408129
E07,B1,0.5919798350290669
E11,B1,0.5743570826057399
K10,B1,0.5664311615487045
E23,B1,0.5633046074126509
