Well,Content,Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,26.112,
A02,Sample X2,25.876,
A03,Sample X3,524.07E-6,
A04,Sample X4,-0.034,
A05,Sample X5,-0.336,
A06,Sample X6,-0.355,
A07,Sample X7,-0.354,
A08,Sample X8,-0.355,
A09,Sample X9,-0.367,
A10,Sample X10,-0.334,
A11,Sample X11,-0.341,
A12,Sample X12,-0.348,
A13,Sample X13,-0.350,
A14,Sample X14,-0.361,
A15,Sample X15,-0.337,
A16,Sample X16,-0.322,
A17,Sample X17,-0.336,
A18,Sample X18,-0.316,
A19,Sample X19,-0.333,
A20,Sample X20,-0.341,
A21,Sample X21,-0.336,
A22,Sample X22,-0.322,
A23,Sample X23,-0.323,
A24,Sample X24,-0.296,
B01,Sample X25,26.842,
B02,Standard S1,0.043,
B03,Sample X27,-0.053,
B04,Standard S2,54.987,
B05,Sample X29,-0.340,
B07,Sample X31,-0.368,
B09,Sample X33,-0.340,
B11,Sample X35,-0.337,
B13,Sample X37,-0.343,
B15,Sample X39,-0.304,
B17,Sample X41,-0.298,
B19,Sample X43,-0.333,
B21,Sample X45,-0.323,
B23,Sample X47,-0.322,
C01,Sample X49,28.702,
C02,Sample X50,27.560,
C03,Sample X51,-0.017,
C04,Sample X52,0.014,
C05,Sample X53,-0.327,
C06,Sample X54,-0.329,
C07,Sample X55,-0.332,
C08,Sample X56,-0.337,
C09,Sample X57,-0.331,
C10,Sample X58,0.024,
C11,Sample X59,-0.342,
C12,Sample X60,-0.335,
C13,Sample X61,-0.338,
C14,Sample X62,-0.335,
C15,Sample X63,-0.346,
C16,Sample X64,-0.309,
C17,Sample X65,-0.321,
C18,Sample X66,-0.341,
C19,Sample X67,-0.306,
C20,Sample X68,-0.348,
C21,Sample X69,-0.349,
C22,Sample X70,-0.334,
C23,Sample X71,-0.300,
C24,Sample X72,-0.313,
D01,Sample X73,23.281,
D02,Standard S1,0.007,
D03,Sample X75,-0.002,
D04,Standard S2,54.682,
D05,Sample X77,-0.356,
D07,Sample X79,-0.345,
D09,Sample X81,-0.320,
D11,Sample X83,-0.310,
D13,Sample X85,-0.316,
D15,Sample X87,-0.311,
D17,Sample X89,-0.313,
D19,Sample X91,-0.318,
D21,Sample X93,-0.322,
D23,Sample X95,-0.316,
E01,Sample X97,30.361,
E02,Sample X98,28.525,
E03,Sample X99,0.015,
E04,Sample X100,0.031,
E05,Sample X101,-0.358,
E06,Sample X102,-0.326,
E07,Sample X103,-0.300,
E08,Sample X104,-0.316,
E09,Sample X105,-0.358,
E10,Sample X106,-0.336,
E11,Sample X107,-0.335,
E12,Sample X108,-0.353,
E13,Sample X109,-0.354,
E14,Sample X110,-0.328,
E15,Sample X111,-0.332,
E16,Sample X112,-0.316,
E17,Sample X113,-0.306,
E18,Sample X114,-0.317,
E19,Sample X115,-0.336,
E20,Sample X116,-0.339,
E21,Sample X117,-0.328,
E22,Sample X118,-0.324,
E23,Sample X119,-0.324,
E24,Sample X120,-0.316,
F01,Sample X121,25.291,
F02,Standard S1,0.012,
F03,Sample X123,0.011,
F04,Standard S2,52.560,
F05,Sample X125,-0.373,
F07,Sample X127,-0.345,
F09,Sample X129,-0.286,
F11,Sample X131,-0.355,
F13,Sample X133,-0.310,
F15,Sample X135,-0.329,
F17,Sample X137,-0.346,
F19,Sample X139,-0.320,
F21,Sample X141,-0.306,
F23,Sample X143,-0.320,
G01,Sample X145,30.100,
G02,Sample X146,28.254,
G03,Sample X147,-0.028,
G04,Sample X148,0.021,
G05,Sample X149,-0.329,
G06,Sample X150,-0.322,
G07,Sample X151,-0.355,
G08,Sample X152,-0.329,
G09,Sample X153,-0.324,
G10,Sample X154,-0.345,
G11,Sample X155,-0.356,
G12,Sample X156,-0.321,
G13,Sample X157,-0.320,
G14,Sample X158,-0.345,
G15,Sample X159,-0.341,
G16,Sample X160,-0.338,
G17,Sample X161,-0.343,
G18,Sample X162,-0.317,
G19,Sample X163,-0.312,
G20,Sample X164,-0.314,
G21,Sample X165,-0.295,
G22,Sample X166,-0.326,
G23,Sample X167,-0.303,
G24,Sample X168,-0.325,
H01,Sample X169,24.336,
H02,Standard S1,-0.016,
H03,Sample X171,0.021,
H04,Standard S2,45.904,
H05,Sample X173,0.331,
H07,Sample X175,-0.286,
H09,Sample X177,-0.337,
H11,Sample X179,-0.340,
H13,Sample X181,-0.303,
H15,Sample X183,-0.328,
H17,Sample X185,-0.348,
H19,Sample X187,-0.349,
H21,Sample X189,-0.298,
H23,Sample X191,-0.335,
I01,Sample X193,27.302,
I02,Sample X194,27.397,
I03,Sample X195,-0.034,
