Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,26.112,1.1627221200980393,0.0425693129744483,2.1284656487224147
A02,25.875999999999998,1.1733266347194313,0.04295756300775985,2.1478781503879927
B01,26.842,1.1311005141196633,0.04141159005993569,2.0705795029967846
C01,28.701999999999998,1.0578008501149747,0.038727959737606926,1.9363979868803463
C02,27.56,1.1016328011611032,0.04033272497782271,2.016636248891136
D01,23.281,1.304110648168034,0.047745797018547045,2.387289850927352
E01,30.361,1.0,0.03661176839988122,1.830588419994061
E02,28.525,1.064364592462752,0.03896826995228024,1.948413497614012
F01,25.291,1.2004665691352656,0.04395120400098035,2.1975602000490175
G01,30.1,1.008671096345515,0.03692923257105628,1.846461628552814
G02,28.254,1.0745735117151554,0.03934203653956232,1.9671018269781162
H01,24.336,1.2475756081525313,0.045675949227021444,2.2837974613510723
I01,27.302,1.1120430737674896,0.04071386346746736,2.035693173373368
I02,27.397,1.108187027776764,0.040572686804715624,2.028634340235781
J01,25.084,1.2103731462286718,0.0443139013071597,2.215695065357985
K01,25.772,1.1780614620518393,0.043130913409467404,2.15654567047337
K02,24.67,1.2306850425618159,0.04505755575147117,2.2528777875735586
L01,28.084,1.0810781939894603,0.03958018446050399,1.9790092230251992
M01,26.943,1.126860409011617,0.04125635231372875,2.0628176156864373
M02,25.349,1.1977198311570476,0.04385064106626667,2.1925320533133332
N01,25.203000000000003,1.204658175614014,0.04410466612660372,2.205233306330186
O01,28.22,1.0758681785967399,0.03938943658358589,1.9694718291792943
O02,27.017,1.1237739201243662,0.04114335049741991,2.0571675248709957
P01,26.68,1.1379685157421289,0.04166303974470741,2.0831519872353708
