Well,Content, Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,0.728,
A03,Sample X17,1.482,
A05,Sample X33,0.119,
A07,Sample X49,-1.137,
A09,Sample X65,-1.096,
A11,Sample X81,-1.170,
A13,Sample X97,-1.209,
A15,Sample X113,-1.165,
A17,Sample X129,-1.227,
A19,Sample X145,-1.246,
A21,Sample X161,-1.188,
A23,Sample X177,-1.258,
B02,Standard S1,0.106,
B04,Standard S1,0.034,
B06,Standard S1,-0.040,
B08,Standard S1,0.093,
B10,Standard S1,-0.102,
B12,Standard S1,-0.012,
B14,Standard S1,-0.052,
B16,Standard S1,-0.022,
B18,Standard S1,-0.008,
B20,Standard S1,-0.054,
B22,Standard S1,0.044,
B24,Standard S1,0.013,
C01,Sample X2,4.418,
C03,Sample X18,9.040,
C05,Sample X34,0.127,
C07,Sample X50,-1.111,
C09,Sample X66,-1.139,
C11,Sample X82,-1.190,
C13,Sample X98,-1.177,
C15,Sample X114,-1.240,
C17,Sample X130,-1.246,
C19,Sample X146,-1.253,
C21,Sample X162,-1.256,
C23,Sample X178,-1.211,
D02,Standard S2,48.568,
D04,Standard S2,51.236,
D06,Standard S2,49.283,
D08,Standard S2,50.863,
D10,Standard S2,50.396,
D12,Standard S2,51.095,
D14,Standard S2,51.006,
D16,Standard S2,49.688,
D18,Standard S2,49.666,
D20,Standard S2,49.074,
D22,Standard S2,49.553,
D24,Standard S2,49.572,
E01,Sample X3,7.652,
E03,Sample X19,8.879,
E05,Sample X35,0.082,
E07,Sample X51,-1.140,
E09,Sample X67,-1.200,
E11,Sample X83,-1.229,
E13,Sample X99,-1.241,
E15,Sample X115,-1.254,
E17,Sample X131,-1.200,
E19,Sample X147,-1.299,
E21,Sample X163,-1.234,
E23,Sample X179,-1.308,
G01,Sample X4,8.336,
G03,Sample X20,9.146,
G05,Sample X36,0.185,
G07,Sample X52,-1.202,
G09,Sample X68,-1.187,
G11,Sample X84,-1.243,
G13,Sample X100,-1.180,
G15,Sample X116,-1.288,
G17,Sample X132,-1.259,
G19,Sample X148,-1.222,
G21,Sample X164,-1.277,
G23,Sample X180,-1.227,
I01,Sample X5,6.480,
I03,Sample X21,4.415,
I05,Sample X37,0.061,
I07,Sample X53,-1.211,
I09,Sample X69,-1.084,
I11,Sample X85,-1.212,
I13,Sample X101,-0.319,
I15,Sample X117,-1.182,
I17,Sample X133,-0.971,
I19,Sample X149,-1.171,
I21,Sample X165,-1.219,
I23,Sample X181,-1.247,
K01,Sample X6,9.320,
K03,Sample X22,8.326,
K05,Sample X38,0.136,
K07,Sample X54,-1.188,
K09,Sample X70,-1.176,
K11,Sample X86,-1.159,
K13,Sample X102,-1.181,
K15,Sample X118,-1.108,
K17,Sample X134,-1.212,
K19,Sample X150,-1.198,
K21,Sample X166,-1.329,
K23,Sample X182,-1.226,
M01,Sample X7,13.014,
M03,Sample X23,13.151,
M05,Sample X39,0.139,
M07,Sample X55,-1.177,
M09,Sample X71,-1.171,
M11,Sample X87,-1.226,
M13,Sample X103,-1.176,
M15,Sample X119,-1.193,
M17,Sample X135,-1.176,
M19,Sample X151,-1.221,
M21,Sample X167,-1.222,
M23,Sample X183,-1.258,
O01,Sample X8,1.243,
O03,Sample X24,15.143,
O05,Sample X40,0.066,
O07,Sample X56,-0.977,
O09,Sample X72,-1.179,
O11,Sample X88,-1.232,
O13,Sample X104,-1.130,
O15,Sample X120,-1.266,
O17,Sample X136,-1.246,
O19,Sample X152,-1.198,
O21,Sample X168,-1.220,
O23,Sample X184,-1.303,
