Well,Content, Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,10.221,
A03,Sample X17,-0.863,
A05,Sample X33,-0.838,
A07,Sample X49,-0.814,
A09,Sample X65,-0.962,
A11,Sample X81,-0.961,
A13,Sample X97,-1.090,
A15,Sample X113,-0.949,
A17,Sample X129,-0.977,
A19,Sample X145,-1.047,
A21,Sample X161,-1.043,
A23,Sample X177,-1.114,
B02,Standard S1,0.123,
B04,Standard S1,0.071,
B06,Standard S1,0.064,
B10,Standard S1,0.089,
B12,Standard S1,-0.042,
B14,Standard S1,-0.037,
B16,Standard S1,-0.070,
B18,Standard S1,-0.067,
B20,Standard S1,-0.163,
B22,Standard S1,0.038,
B24,Standard S1,-0.006,
C01,Sample X2,8.704,
C03,Sample X18,-1.074,
C05,Sample X34,-1.030,
C07,Sample X50,-1.074,
C09,Sample X66,-1.148,
C11,Sample X82,-1.157,
C13,Sample X98,-1.188,
C15,Sample X114,-1.268,
C17,Sample X130,-1.257,
C19,Sample X146,-1.237,
C21,Sample X162,-1.241,
C23,Sample X178,-1.201,
D02,Standard S2,99.319,
D04,Standard S2,99.149,
D06,Standard S2,97.802,
D08,Standard S2,98.100,
D10,Standard S2,97.836,
D12,Standard S2,103.166,
D14,Standard S2,101.643,
D16,Standard S2,99.533,
D18,Standard S2,101.584,
D22,Standard S2,102.802,
D24,Standard S2,99.066,
E01,Sample X3,21.524,
E03,Sample X19,-1.184,
E05,Sample X35,-1.109,
E07,Sample X51,-1.173,
E09,Sample X67,-1.358,
E11,Sample X83,-1.183,
E13,Sample X99,-1.322,
E15,Sample X115,-1.302,
E17,Sample X131,-1.161,
E19,Sample X147,-1.276,
E21,Sample X163,-1.269,
E23,Sample X179,-1.200,
G01,Sample X4,5.162,
G03,Sample X20,-1.287,
G05,Sample X36,-1.229,
G07,Sample X52,-1.120,
G09,Sample X68,-1.395,
G11,Sample X84,-1.271,
G13,Sample X100,-1.343,
G15,Sample X116,-1.308,
G17,Sample X132,-1.281,
G19,Sample X148,-1.375,
G21,Sample X164,-1.228,
G23,Sample X180,-1.063,
I01,Sample X5,6.069,
I03,Sample X21,-1.220,
I05,Sample X37,-1.238,
I07,Sample X53,-1.320,
I09,Sample X69,-1.290,
I11,Sample X85,-1.385,
I13,Sample X101,-1.324,
I15,Sample X117,-1.286,
I17,Sample X133,-1.293,
I19,Sample X149,-1.310,
I21,Sample X165,-1.337,
I23,Sample X181,-1.151,
K01,Sample X6,8.083,
K03,Sample X22,-1.192,
K05,Sample X38,-1.244,
K07,Sample X54,-1.112,
K09,Sample X70,-1.318,
K11,Sample X86,-1.257,
K13,Sample X102,-1.390,
K15,Sample X118,-1.390,
K17,Sample X134,-1.345,
K19,Sample X150,-1.274,
K21,Sample X166,-1.233,
K23,Sample X182,-1.192,
M01,Sample X7,3.437,
M03,Sample X23,-1.161,
M05,Sample X39,-1.115,
M07,Sample X55,-1.262,
M09,Sample X71,-1.274,
M11,Sample X87,-1.340,
M13,Sample X103,-1.315,
M15,Sample X119,-1.328,
M17,Sample X135,-1.289,
M19,Sample X151,-1.233,
M21,Sample X167,-1.277,
M23,Sample X183,-1.115,
O01,Sample X8,28.108,
O03,Sample X24,-1.073,
O05,Sample X40,-1.185,
O07,Sample X56,-1.169,
O09,Sample X72,-1.210,
O11,Sample X88,-1.179,
O13,Sample X104,-1.113,
O15,Sample X120,-1.103,
O17,Sample X136,-1.165,
O19,Sample X152,-1.103,
O21,Sample X168,-0.985,
O23,Sample X184,-1.011,
