Well,Content, Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,3.426,
A03,Sample X17,3.449,
A05,Sample X33,0.266,
A07,Sample X49,-1.267,
A09,Sample X65,-1.286,
A11,Sample X81,-1.228,
A13,Sample X97,-1.250,
A15,Sample X113,-1.338,
A17,Sample X129,-1.297,
A19,Sample X145,-1.281,
A21,Sample X161,-1.311,
A23,Sample X177,-1.341,
B02,Standard S1,0.024,
B04,Standard S1,-0.042,
B06,Standard S1,-0.094,
B08,Standard S1,-0.047,
B10,Standard S1,0.019,
B12,Standard S1,-0.010,
B14,Standard S1,0.084,
B16,Standard S1,0.317,
B18,Standard S1,0.009,
B20,Standard S1,-0.123,
B22,Standard S1,-0.050,
B24,Standard S1,-0.089,
C01,Sample X2,2.834,
C03,Sample X18,0.581,
C05,Sample X34,2.251,
C07,Sample X50,-1.203,
C09,Sample X66,-1.326,
C11,Sample X82,-1.241,
C13,Sample X98,-1.276,
C15,Sample X114,-1.236,
C17,Sample X130,-1.243,
C19,Sample X146,-1.267,
C21,Sample X162,-1.296,
C23,Sample X178,-1.325,
D02,Standard S2,50.553,
D04,Standard S2,51.060,
D06,Standard S2,50.488,
D08,Standard S2,48.709,
D10,Standard S2,50.475,
D12,Standard S2,52.835,
D14,Standard S2,50.173,
D16,Standard S2,48.834,
D18,Standard S2,49.195,
D20,Standard S2,49.178,
D22,Standard S2,48.298,
D24,Standard S2,50.200,
E01,Sample X3,2.137,
E03,Sample X19,2.712,
E05,Sample X35,0.198,
E07,Sample X51,-1.310,
E09,Sample X67,-1.257,
E11,Sample X83,-1.260,
E13,Sample X99,-1.251,
E15,Sample X115,-1.162,
E17,Sample X131,-1.220,
E19,Sample X147,-1.291,
E21,Sample X163,-1.311,
E23,Sample X179,-1.282,
G01,Sample X4,3.376,
G03,Sample X20,1.108,
G05,Sample X36,2.765,
G07,Sample X52,-1.231,
G09,Sample X68,-1.229,
G11,Sample X84,-1.163,
G13,Sample X100,-1.289,
G15,Sample X116,-1.274,
G17,Sample X132,-1.223,
G19,Sample X148,-1.347,
G21,Sample X164,-1.244,
G23,Sample X180,-1.302,
I01,Sample X5,0.406,
I03,Sample X21,1.046,
I05,Sample X37,1.185,
I07,Sample X53,-1.362,
I09,Sample X69,-1.202,
I11,Sample X85,-1.276,
I13,Sample X101,-1.210,
I15,Sample X117,-1.237,
I17,Sample X133,-1.288,
I19,Sample X149,-1.259,
I21,Sample X165,-1.282,
I23,Sample X181,-1.307,
K01,Sample X6,1.758,
K03,Sample X22,2.034,
K05,Sample X38,2.242,
K07,Sample X54,-1.289,
K09,Sample X70,-1.324,
K11,Sample X86,-1.204,
K13,Sample X102,-1.154,
K15,Sample X118,-1.297,
K17,Sample X134,-1.298,
K19,Sample X150,-1.211,
K21,Sample X166,-1.368,
K23,Sample X182,-1.227,
M01,Sample X7,1.333,
M03,Sample X23,1.019,
M05,Sample X39,2.085,
M07,Sample X55,-1.236,
M09,Sample X71,-1.226,
M11,Sample X87,-1.330,
M13,Sample X103,-1.222,
M15,Sample X119,-1.271,
M17,Sample X135,-1.261,
M19,Sample X151,-1.191,
M21,Sample X167,-1.336,
M23,Sample X183,-1.319,
O01,Sample X8,2.222,
O03,Sample X24,3.700,
O05,Sample X40,1.350,
O07,Sample X56,-1.205,
O09,Sample X72,-1.102,
O11,Sample X88,-1.235,
O13,Sample X104,-1.234,
O15,Sample X120,-1.311,
O17,Sample X136,-1.271,
O19,Sample X152,-1.242,
O21,Sample X168,-1.329,
O23,Sample X184,-1.273,
