Well,Content, Linear regression fit based on Raw Data (483-14/530-30)
A01,Sample X1,38.158
A03,Sample X17,44.132
A07,Sample X49,-1.875
A09,Sample X65,-2.227
A11,Sample X81,-2.371
A13,Sample X97,-2.186
A15,Sample X113,-2.292
A17,Sample X129,-2.439
A19,Sample X145,-2.412
A21,Sample X161,-2.245
A23,Sample X177,-2.617
B02,Standard S1,0.332
B04,Standard S1,
B06,Standard S1,0.244
B08,Standard S1,0.132
B10,Standard S1,-0.019
B12,Standard S1,0.025
B14,Standard S1,-0.155
B16,Standard S1,-0.056
B18,Standard S1,-0.094
B20,Standard S1,-0.216
B22,Standard S1,-0.147
B24,Standard S1,-0.046
C01,Sample X2,44.376
C03,Sample X18,48.489
C07,Sample X50,-2.21
C09,Sample X66,-2.589
C11,Sample X82,-2.474
C13,Sample X98,-2.436
C15,Sample X114,-2.551
C17,Sample X130,-2.699
C19,Sample X146,-2.531
C21,Sample X162,-2.661
C23,Sample X178,-2.699
D02,Standard S2,52.133
D04,Standard S2,
D06,Standard S2,49.641
D08,Standard S2,49.111
D10,Standard S2,49.01
D12,Standard S2,49.048
D14,Standard S2,48.74
D16,Standard S2,49.558
D18,Standard S2,49.818
D20,Standard S2,50.578
D22,Standard S2,51.757
D24,Standard S2,50.604
E01,Sample X3,40.359
E03,Sample X19,38.462
E07,Sample X51,-2.558
E09,Sample X67,-2.707
E11,Sample X83,-2.727
E13,Sample X99,-2.752
E15,Sample X115,-2.862
E17,Sample X131,-2.864
E19,Sample X147,-2.734
E21,Sample X163,-2.665
E23,Sample X179,-2.714
G01,Sample X4,37.169
G03,Sample X20,34.132
G07,Sample X52,-2.511
G09,Sample X68,-2.819
G11,Sample X84,-2.812
G13,Sample X100,-2.87
G15,Sample X116,-3.018
G17,Sample X132,-3.029
G19,Sample X148,-2.927
G21,Sample X164,-2.768
G23,Sample X180,-2.632
I01,Sample X5,20.757
I03,Sample X21,36.003
I07,Sample X53,-2.65
I09,Sample X69,-2.757
I11,Sample X85,-2.86
I13,Sample X101,-2.993
I15,Sample X117,-2.901
I17,Sample X133,-2.905
I19,Sample X149,-2.88
I21,Sample X165,-2.822
I23,Sample X181,-2.712
K01,Sample X6,34.867
K03,Sample X22,44.204
K07,Sample X54,-2.444
K09,Sample X70,-2.936
K11,Sample X86,-2.781
K13,Sample X102,-2.99
K15,Sample X118,-2.863
K17,Sample X134,-3.048
K19,Sample X150,-2.883
K21,Sample X166,-2.877
K23,Sample X182,-2.88
M01,Sample X7,23.605
M03,Sample X23,46.256
M07,Sample X55,-2.405
M09,Sample X71,-2.718
M11,Sample X87,-2.844
M13,Sample X103,-2.878
M15,Sample X119,-2.89
M17,Sample X135,-2.827
M19,Sample X151,-2.853
M21,Sample X167,-2.814
M23,Sample X183,-2.786
O01,Sample X8,33.103
O03,Sample X24,58.941
O07,Sample X56,-2.048
O09,Sample X72,-2.658
O11,Sample X88,-2.418
O13,Sample X104,-2.37
O15,Sample X120,-2.427
O17,Sample X136,-2.568
O19,Sample X152,-2.334
O21,Sample X168,-2.317
O23,Sample X184,-2.278
