Well,Content, Linear regression fit based on Raw Data (483-14/530-30),
A01,Sample X1,15.414,
A03,Sample X17,26.381,
A05,Sample X33,-0.108,
A07,Sample X49,-0.948,
A09,Sample X65,-0.924,
A11,Sample X81,-0.984,
A13,Sample X97,-1.078,
A15,Sample X113,-1.054,
A17,Sample X129,-1.022,
A19,Sample X145,-1.017,
A21,Sample X161,-1.001,
A23,Sample X177,-1.044,
B02,Standard S1,0.019,
B04,Standard S1,-0.139,
B06,Standard S1,0.035,
B08,Standard S1,0.089,
B10,Standard S1,-0.063,
B12,Standard S1,0.049,
B14,Standard S1,0.024,
B16,Standard S1,-0.043,
B18,Standard S1,0.123,
B20,Standard S1,-0.075,
B22,Standard S1,0.029,
B24,Standard S1,-0.048,
C01,Sample X2,27.196,
C03,Sample X18,24.935,
C05,Sample X34,-0.182,
C07,Sample X50,-0.913,
C09,Sample X66,-0.945,
C11,Sample X82,-0.938,
C13,Sample X98,-1.084,
C15,Sample X114,-1.016,
C17,Sample X130,-0.999,
C19,Sample X146,-1.055,
C21,Sample X162,-1.123,
C23,Sample X178,-1.046,
D02,Standard S2,51.728,
D04,Standard S2,51.217,
D06,Standard S2,53.098,
D08,Standard S2,51.634,
D10,Standard S2,50.601,
D12,Standard S2,51.490,
D14,Standard S2,50.494,
D16,Standard S2,47.858,
D18,Standard S2,48.067,
D20,Standard S2,47.801,
D22,Standard S2,48.691,
D24,Standard S2,47.320,
E01,Sample X3,23.628,
E03,Sample X19,13.429,
E05,Sample X35,-0.208,
E07,Sample X51,-0.916,
E09,Sample X67,-1.003,
E11,Sample X83,-1.002,
E13,Sample X99,-1.048,
E15,Sample X115,-0.896,
E17,Sample X131,-1.099,
E19,Sample X147,-1.043,
E21,Sample X163,-1.010,
E23,Sample X179,-1.049,
G01,Sample X4,25.107,
G03,Sample X20,25.587,
G05,Sample X36,-0.136,
G07,Sample X52,-0.951,
G09,Sample X68,-0.952,
G11,Sample X84,-0.944,
G13,Sample X100,-0.984,
G15,Sample X116,-0.921,
G17,Sample X132,-0.962,
G19,Sample X148,-0.988,
G21,Sample X164,-0.990,
G23,Sample X180,-0.961,
I01,Sample X5,24.871,
I03,Sample X21,16.735,
I05,Sample X37,-0.136,
I07,Sample X53,-0.860,
I09,Sample X69,-0.918,
I11,Sample X85,-0.904,
I13,Sample X101,-0.893,
I15,Sample X117,-0.987,
I17,Sample X133,-0.892,
I19,Sample X149,-0.962,
I21,Sample X165,-1.008,
I23,Sample X181,-1.063,
K01,Sample X6,17.469,
K03,Sample X22,16.285,
K05,Sample X38,-0.177,
K07,Sample X54,-0.972,
K09,Sample X70,-0.889,
K11,Sample X86,-0.970,
K13,Sample X102,-1.018,
K15,Sample X118,-0.954,
K17,Sample X134,-0.992,
K19,Sample X150,-0.948,
K21,Sample X166,-0.909,
K23,Sample X182,-1.066,
M01,Sample X7,28.231,
M03,Sample X23,26.662,
M05,Sample X39,-0.222,
M07,Sample X55,-0.863,
M09,Sample X71,-0.984,
M11,Sample X87,-0.932,
M13,Sample X103,-0.973,
M15,Sample X119,-0.956,
M17,Sample X135,-0.940,
M19,Sample X151,-1.054,
M21,Sample X167,-1.006,
M23,Sample X183,-1.104,
O01,Sample X8,24.357,
O03,Sample X24,7.411,
O05,Sample X40,-0.174,
O07,Sample X56,-0.886,
O09,Sample X72,-0.968,
O11,Sample X88,-0.905,
O13,Sample X104,-1.032,
O15,Sample X120,-0.958,
O17,Sample X136,-0.924,
O19,Sample X152,-0.958,
O21,Sample X168,-1.001,
O23,Sample X184,-1.045,
