Source Well,Destination Well,Transfer Volume
A01,B1,542.1806486062563
A03,B1,445.9326614050634
A05,B1,2192.1717979015284
C01,B1,599.3405932156462
C03,B1,260.2539962574203
C05,B1,291.22230725492034
E01,B1,585.6206703388815
E03,B1,366.2254728886746
E05,B1,309.38009286984493
G01,B1,368.114642503793
G03,B1,330.0933066347159
G05,B1,351.85111119815633
I01,B1,351.62299196112434
I03,B1,302.41067402745523
I05,B1,296.6055798746723
K01,B1,495.6528082625097
K03,B1,283.68202887375156
K05,B1,385.2690934153855
M01,B1,1410.1489932419088
M03,B1,755.9845313644247
M05,B1,1796.433596557927
O01,B1,469.5613011262668
O03,B1,413.52901471661323
O05,B1,1396.71208550306
