Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,20.988000000000003,1.3808843148465788,0.04516716124904879,677.5074187357319
A03,3.237,8.953351869014519,0.29285399453044053,4392.809917956608
C01,20.834,1.3910914850724776,0.04550102622132265,682.5153933198397
C03,19.802,1.4635895364104636,0.04787235533254399,718.0853299881599
E01,22.15,1.3084424379232507,0.042797669539279284,641.9650430891893
E03,20.493,1.414239008441907,0.046258155482117605,693.8723322317641
G01,20.363,1.4232676914010707,0.04655347347124865,698.3021020687297
G03,18.946,1.5297160350469754,0.05003527817455062,750.5291726182593
I01,19.297,1.5018914857231693,0.049125168694358505,736.8775304153776
I03,20.551,1.410247676512092,0.046127603537299215,691.9140530594882
K01,21.996,1.317603200581924,0.043097307705720865,646.459615585813
K03,16.957,1.7091466650940614,0.055904250769300945,838.5637615395142
M01,17.572,1.6493284771226953,0.05394766562116072,809.2149843174108
M03,16.044,1.806407379705809,0.059085538537461735,886.2830780619261
O01,28.982,1.0,0.032708866893072806,490.6330033960921
O03,22.064,1.31354242204496,0.04296448424107306,644.4672636160959
