Well,Content,Concentration,Unnamed: 3
A01,Sample X1,3.3689999999999998,
A02,Sample X2,1.608,
A03,Sample X3,12.043,
A04,Sample X4,1.147,
A05,Sample X5,22.000999999999998,
A06,Sample X6,1.4669999999999999,
A07,Sample X7,29.78,
A08,Sample X8,3.4019999999999997,
A09,Sample X9,17.819000000000003,
A10,Sample X10,1.079,
A11,Sample X11,22.96,
A12,Sample X12,7.711,
A13,Sample X13,17.31,
A14,Sample X14,3.938,
A15,Sample X15,3.509,
A16,Sample X16,0.89,
A17,Sample X17,20.601,
A18,Sample X18,1.921,
A19,Sample X19,12.794,
A20,Sample X20,3.103,
A21,Sample X21,24.671999999999997,
A22,Sample X22,0.9670000000000001,
A23,Sample X23,0.9520000000000001,
A24,Sample X24,0.963,
C01,Sample X49,4.086,
C02,Sample X50,1.117,
C03,Sample X51,5.047,
C04,Sample X52,3.9189999999999996,
C05,Sample X53,8.854,
C06,Sample X54,8.782,
C07,Sample X55,15.215,
C08,Sample X56,3.697,
C09,Sample X57,10.595,
C10,Sample X58,1.695,
C11,Sample X59,18.675,
C12,Sample X60,4.534,
C13,Sample X61,28.145,
C14,Sample X62,3.407,
C15,Sample X63,23.718000000000004,
C16,Sample X64,0.747,
C17,Sample X65,26.318,
C18,Sample X66,1.187,
C19,Sample X67,29.484,
C20,Sample X68,7.74,
C21,Sample X69,23.33,
C22,Sample X70,1.074,
C23,Sample X71,25.185,
C24,Sample X72,0.599,
E01,Sample X97,1.268,
E02,Sample X98,6.087999999999999,
E03,Sample X99,5.846,
E04,Sample X100,2.129,
E05,Sample X101,12.493,
E06,Sample X102,20.006,
E07,Sample X103,37.644,
E08,Sample X104,2.677,
E09,Sample X105,29.791999999999998,
E10,Sample X106,2.122,
E11,Sample X107,29.406,
E12,Sample X108,8.881,
E13,Sample X109,32.721,
E14,Sample X110,7.445,
E15,Sample X111,21.65,
E16,Sample X112,1.7069999999999999,
E17,Sample X113,14.41,
E18,Sample X114,3.218,
E19,Sample X115,14.462,
E20,Sample X116,6.3420000000000005,
E21,Sample X117,30.503,
E22,Sample X118,1.4369999999999998,
E23,Sample X119,27.343000000000004,
E24,Sample X120,1.0170000000000001,
G01,Sample X145,10.093,
G02,Sample X146,1.015,
G03,Sample X147,8.712,
G04,Sample X148,1.635,
G05,Sample X149,12.050999999999998,
G06,Sample X150,14.49,
G07,Sample X151,21.226999999999997,
G08,Sample X152,1.3659999999999999,
G09,Sample X153,15.167,
G10,Sample X154,1.511,
G11,Sample X155,25.947,
G12,Sample X156,2.654,
G13,Sample X157,21.535,
G14,Sample X158,1.41,
G15,Sample X159,19.662,
G16,Sample X160,1.913,
G17,Sample X161,24.243000000000002,
G18,Sample X162,3.031,
G19,Sample X163,15.012,
G20,Sample X164,2.207,
G21,Sample X165,29.824,
G22,Sample X166,0.7090000000000001,
G23,Sample X167,18.155,
G24,Sample X168,0.821,
I01,Sample X193,30.426,
I02,Sample X194,1.032,
I03,Sample X195,20.485,
I04,Sample X196,0.8220000000000001,
I05,Sample X197,28.046,
I06,Sample X198,13.979000000000001,
I07,Sample X199,22.201,
I08,Sample X200,1.161,
I09,Sample X201,28.905,
I10,Sample X202,0.9390000000000001,
I11,Sample X203,0.363,
I12,Sample X204,0.977,
I13,Sample X205,17.212,
I14,Sample X206,0.792,
I15,Sample X207,13.173,
I16,Sample X208,0.721,
I17,Sample X209,13.115,
I18,Sample X210,1.78,
I19,Sample X211,12.985999999999999,
I20,Sample X212,0.87,
I21,Sample X213,15.720999999999998,
I22,Sample X214,1.3880000000000001,
I23,Sample X215,11.413,
I24,Sample X216,0.528,
K01,Sample X241,24.105999999999998,
K02,Sample X242,0.8809999999999999,
K03,Sample X243,13.657,
K04,Sample X244,1.2890000000000001,
K05,Sample X245,11.123,
K06,Sample X246,8.716000000000001,
K07,Sample X247,10.364,
K08,Sample X248,0.52,
K09,Sample X249,1.6480000000000001,
K10,Sample X250,0.902,
K11,Sample X251,11.925999999999998,
K12,Sample X252,1.214,
K13,Sample X253,12.770999999999999,
K14,Sample X254,1.2309999999999999,
K15,Sample X255,15.36,
K16,Sample X256,0.8320000000000001,
K17,Sample X257,12.503,
K18,Sample X258,5.052,
K19,Sample X259,10.4,
K20,Sample X260,0.943,
K21,Sample X261,13.152999999999999,
K22,Sample X262,0.525,
K23,Sample X263,12.207,
K24,Sample X264,0.511,
M01,Sample X289,14.07,
M02,Sample X290,0.255,
M03,Sample X291,13.847000000000001,
M04,Sample X292,0.415,
M05,Sample X293,8.036,
M06,Sample X294,0.6890000000000001,
M07,Sample X295,10.668,
M08,Sample X296,0.385,
M09,Sample X297,16.365,
M10,Sample X298,0.58,
M11,Sample X299,11.825999999999999,
M12,Sample X300,2.031,
M13,Sample X301,5.7620000000000005,
M14,Sample X302,1.198,
M15,Sample X303,10.293,
M16,Sample X304,0.451,
M17,Sample X305,9.767000000000001,
M18,Sample X306,0.637,
M19,Sample X307,1.705,
M20,Sample X308,0.504,
M21,Sample X309,10.227,
M22,Sample X310,0.445,
M23,Sample X311,6.692,
M24,Sample X312,17.157,
O01,Sample X337,0.581,
O02,Sample X338,0.115,
O03,Sample X339,8.695,
O04,Sample X340,0.441,
O05,Sample X341,3.937,
O06,Sample X342,0.64,
O07,Sample X343,9.781,
O08,Sample X344,0.71,
O09,Sample X345,16.13,
O10,Sample X346,0.488,
O11,Sample X347,9.074,
O12,Sample X348,0.48700000000000004,
O13,Sample X349,6.251,
O14,Sample X350,0.358,
O15,Sample X351,9.075,
O16,Sample X352,1.276,
O17,Sample X353,2.7769999999999997,
O18,Sample X354,0.525,
O19,Sample X355,2.484,
O20,Sample X356,0.45799999999999996,
O21,Sample X357,10.536,
O22,Sample X358,0.574,
O23,Sample X359,5.425,
O24,Sample X360,0.16899999999999998,
