Source Well 384,Source Well 96,Source Plate 96,Destination Well,Transfer Volume
D01,B1,3,B1,2.387289850927352
H01,D1,3,B1,2.2837974613510723
K02,F1,2,B1,2.2528777875735586
J01,E1,3,B1,2.215695065357985
N01,G1,3,B1,2.205233306330186
F01,C1,3,B1,2.1975602000490175
M02,G1,2,B1,2.1925320533133332
K01,F1,1,B1,2.15654567047337
A02,A1,2,B1,2.1478781503879927
A01,A1,1,B1,2.1284656487224147
P01,H1,3,B1,2.0831519872353708
B01,A1,3,B1,2.0705795029967846
M01,G1,1,B1,2.0628176156864373
O02,H1,2,B1,2.0571675248709957
I01,E1,1,B1,2.035693173373368
I02,E1,2,B1,2.028634340235781
C02,B1,2,B1,2.016636248891136
L01,F1,3,B1,1.9790092230251992
O01,H1,1,B1,1.9694718291792943
G02,D1,2,B1,1.9671018269781162
E02,C1,2,B1,1.948413497614012
C01,B1,1,B1,1.9363979868803463
G01,D1,1,B1,1.846461628552814
E01,C1,1,B1,1.830588419994061
