Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,3.157,1.7206208425720622,0.056772425566542904,567.724255665429
A03,3.112,1.7455012853470437,0.057593363596907435,575.9336359690743
A05,3.7680000000000002,1.4416135881104033,0.04756649350147981,475.6649350147981
C01,3.451,1.5740365111561867,0.05193582947365284,519.3582947365284
C03,3.5869999999999997,1.514357401728464,0.049966698498348464,499.6669849834846
C05,3.8560000000000003,1.408713692946058,0.04648095111866596,464.80951118665956
E01,3.7510000000000003,1.4481471607571315,0.04778207078474432,477.8207078474432
E03,3.87,1.4036175710594316,0.04631280297508423,463.1280297508423
E05,4.942,1.0991501416430596,0.036266804434151347,362.66804434151345
G01,4.147,1.3098625512418616,0.04321932662492788,432.19326624927885
G03,4.502,1.2065748556197247,0.039811316640065736,398.11316640065735
G05,4.64,1.170689655172414,0.038627273171029305,386.27273171029304
I01,4.297,1.2641377705375845,0.04171062311230532,417.1062311230532
I03,4.393,1.2365126337354884,0.04079912303973957,407.9912303973957
I05,4.63,1.1732181425485961,0.038710701406819856,387.10701406819857
K01,4.91,1.1063136456211813,0.036503166499709964,365.03166499709965
K03,5.002,1.0859656137544984,0.03583177679199839,358.3177679199839
K05,5.082,1.068870523415978,0.03526771891254938,352.6771891254938
M01,5.102,1.0646805174441396,0.035129468348407675,351.29468348407676
M03,5.082,1.068870523415978,0.03526771891254938,352.6771891254938
M05,5.105,1.064054848188051,0.035108824194628,351.08824194628
O01,4.988,1.0890136327185245,0.03593234713584121,359.3234713584121
O03,5.432,1.0,0.032995314343441814,329.95314343441817
O05,5.209,1.0428105202534077,0.03440786091640929,344.0786091640929
