Source Well,Destination Well,Transfer Volume
A01,A1,420.91348239307206
A03,A1,101.60421036070058
A05,A1,2946.8574278872497
A07,A1,2946.8574278872497
A09,A1,226.66215958279832
A11,A1,589.2418394081633
A13,A1,173.33333777336028
A15,A1,2946.8574278872497
A17,A1,589.2418394081633
A19,A1,155.07980095811442
A21,A1,267.869340194951
A23,A1,173.33333777336028
C01,A1,226.66215958279832
C03,A1,226.66215958279832
C05,A1,226.66215958279832
C07,A1,117.86392405286709
C09,A1,226.66215958279832
C11,A1,2946.8574278872497
C13,A1,2946.8574278872497
C15,A1,420.91348239307206
C17,A1,420.91348239307206
C19,A1,2946.8574278872497
C21,A1,155.07980095811442
C23,A1,155.07980095811442
E01,A1,2946.8574278872497
E03,A1,117.86392405286709
E05,A1,420.91348239307206
E07,A1,420.91348239307206
E09,A1,420.91348239307206
E11,A1,2946.8574278872497
E13,A1,420.91348239307206
E15,A1,420.91348239307206
E17,A1,2946.8574278872497
E19,A1,155.07980095811442
E21,A1,2946.8574278872497
E23,A1,589.2418394081633
G01,A1,2946.8574278872497
G03,A1,267.869340194951
G05,A1,420.91348239307206
G07,A1,2946.8574278872497
G09,A1,2946.8574278872497
G11,A1,226.66215958279832
G13,A1,420.91348239307206
G15,A1,2946.8574278872497
G17,A1,2946.8574278872497
G19,A1,589.2418394081633
G21,A1,2946.8574278872497
G23,A1,420.91348239307206
I01,A1,155.07980095811442
I03,A1,226.66215958279832
I05,A1,2946.8574278872497
I07,A1,173.33333777336028
I09,A1,2946.8574278872497
I11,A1,155.07980095811442
I13,A1,155.07980095811442
I15,A1,2946.8574278872497
I17,A1,226.66215958279832
I19,A1,2946.8574278872497
I21,A1,420.91348239307206
I23,A1,2946.8574278872497
K01,A1,2946.8574278872497
K03,A1,226.66215958279832
K05,A1,420.91348239307206
K07,A1,2946.8574278872497
K09,A1,589.2418394081633
K11,A1,226.66215958279832
K13,A1,226.66215958279832
K15,A1,117.86392405286709
K17,A1,226.66215958279832
K19,A1,420.91348239307206
K21,A1,2946.8574278872497
K23,A1,155.07980095811442
M01,A1,420.91348239307206
M03,A1,2946.8574278872497
M05,A1,420.91348239307206
M07,A1,2946.8574278872497
M09,A1,226.66215958279832
M11,A1,226.66215958279832
M13,A1,226.66215958279832
M15,A1,226.66215958279832
M17,A1,155.07980095811442
M19,A1,155.07980095811442
M21,A1,155.07980095811442
M23,A1,155.07980095811442
O01,A1,226.66215958279832
O03,A1,420.91348239307206
O05,A1,420.91348239307206
O07,A1,2946.8574278872497
O09,A1,420.91348239307206
O11,A1,589.2418394081633
O13,A1,226.66215958279832
O15,A1,226.66215958279832
O17,A1,420.91348239307206
O19,A1,420.91348239307206
O21,A1,226.66215958279832
O23,A1,155.07980095811442
