Well,Content, Linear regression fit based on Raw Data (48314/53030),
A01,Sample X1,6.364,
A03,Sample X9,26.364,
A05,Sample X17,0.909,
A07,Sample X25,0.909,
A09,Sample X33,11.818,
A11,Sample X41,4.546,
A13,Sample X49,15.454,
A15,Sample X57,0.909,
A17,Sample X65,4.546,
A19,Sample X73,17.273,
A21,Sample X82,10.000,
A23,Sample X90,15.454,
C01,Sample X2,11.818,
C03,Sample X10,11.818,
C05,Sample X18,11.818,
C07,Sample X26,22.727,
C09,Sample X34,11.818,
C11,Sample X42,0.909,
C13,Sample X50,0.909,
C15,Sample X58,6.364,
C17,Sample X66,6.364,
C19,Sample X74,0.909,
C21,Sample X83,17.273,
C23,Sample X91,17.273,
E01,Sample X3,0.909,
E03,Sample X11,22.727,
E05,Sample X19,6.364,
E07,Sample X27,6.364,
E09,Sample X35,6.364,
E11,Sample X43,0.909,
E13,Sample X51,6.364,
E15,Sample X59,6.364,
E17,Sample X67,0.909,
E19,Sample X75,17.273,
E21,Sample X84,0.909,
E23,Sample X92,4.546,
G01,Sample X4,0.909,
G03,Sample X12,10.000,
G05,Sample X20,6.364,
G07,Sample X28,0.909,
G09,Sample X36,0.909,
G11,Sample X44,11.818,
G13,Sample X52,6.364,
G15,Sample X60,0.909,
G17,Sample X68,0.909,
G19,Sample X76,4.546,
G21,Sample X85,0.909,
G23,Sample X93,6.364,
I01,Sample X5,17.273,
I03,Sample X13,11.818,
I05,Sample X21,0.909,
I07,Sample X29,15.454,
I09,Sample X37,0.909,
I11,Sample X45,17.273,
I13,Sample X53,17.273,
I15,Sample X61,0.909,
I17,Sample X69,11.818,
I19,Sample X78,0.909,
I21,Sample X86,6.364,
I23,Sample X94,0.909,
K01,Sample X6,0.909,
K03,Sample X14,11.818,
K05,Sample X22,6.364,
K07,Sample X30,0.909,
K09,Sample X38,4.546,
K11,Sample X46,11.818,
K13,Sample X54,11.818,
K15,Sample X62,22.727,
K17,Sample X70,11.818,
K19,Sample X79,6.364,
K21,Sample X87,0.909,
K23,Sample X95,17.273,
M01,Sample X7,6.364,
M03,Sample X15,0.909,
M05,Sample X23,6.364,
M07,Sample X31,0.909,
M09,Sample X39,11.818,
M11,Sample X47,11.818,
M13,Sample X55,11.818,
M15,Sample X63,11.818,
M17,Sample X71,17.273,
M19,Sample X80,17.273,
M21,Sample X88,17.273,
M23,Sample X96,17.273,
O01,Sample X8,11.818,
O03,Sample X16,6.364,
O05,Sample X24,6.364,
O07,Sample X32,0.909,
O09,Sample X40,6.364,
O11,Sample X48,4.546,
O13,Sample X56,11.818,
O15,Sample X64,11.818,
O17,Sample X72,6.364,
O19,Sample X81,6.364,
O21,Sample X89,11.818,
O23,Sample X97,17.273,
