Well,Content, Linear regression fit based on Raw Data (483-14/530-30)
A01,Sample X1,3.157
A03,Sample X17,3.112
A05,Sample X33,3.768
C01,Sample X2,3.451
C03,Sample X18,3.587
C05,Sample X34,3.856
E01,Sample X3,3.751
E03,Sample X19,3.87
E05,Sample X35,4.942
G01,Sample X4,4.147
G03,Sample X20,4.502
G05,Sample X36,4.64
I01,Sample X5,4.297
I03,Sample X21,4.393
I05,Sample X37,4.63
K01,Sample X6,4.91
K03,Sample X22,5.002
K05,Sample X38,5.082
M01,Sample X7,5.102
M03,Sample X23,5.082
M05,Sample X39,5.105
O01,Sample X8,4.988
O03,Sample X24,5.432
O05,Sample X40,5.209
